iter	RMSE
349	53.98564498
350	53.98204697
351	53.97723451
352	53.96406912
353	53.95812123
354	53.94641091
355	53.92677859
356	53.89766632
357	53.89434148
358	53.88387929
359	53.87311681
360	53.86585691
361	53.85240046
362	53.84615688
363	53.84470838
364	53.84261318
365	53.80938325
366	53.79278057
367	53.785093
368	53.75593673
369	53.72685795
370	53.72055402
371	53.70988181
372	53.70171179
373	53.68761994
374	53.68750448
375	53.66598773
376	53.6497545
377	53.64581354
378	53.62624557
379	53.62300002
380	53.60241629
381	53.57970202
382	53.57707098
383	53.55315349
384	53.53585783
385	53.51572576
386	53.47123206
387	53.46256164
388	53.44232847
389	53.43842124
390	53.43673032
391	53.41448603
392	53.41132559
393	53.40403566
394	53.39087157
395	53.36594473
396	53.3536834
397	53.35344253
398	53.34439553
399	53.33039832
400	53.3259829
401	53.30695833
402	53.29885998
403	53.2727323
404	53.26857539
405	53.24040404
406	53.20447089
407	53.19615014
408	53.15289353
409	53.14260907
410	53.14010028
411	53.12623349
412	53.12363653
413	53.10301016
414	53.07206551
415	53.06565524
416	53.06524632
417	53.03852164
418	53.03194209
419	53.02339386
420	53.00601464
421	53.00483764
422	53.00454775
423	52.99774459
424	52.96902104
425	52.95332596
426	52.93684012
427	52.92638208
428	52.89571248
429	52.88489912
430	52.87130519
431	52.86210611
432	52.84693628
433	52.84103848
434	52.8275178
435	52.8128988
436	52.79185154
437	52.78420033
438	52.77564779
439	52.76049351
440	52.74489302
441	52.70191293
442	52.69637799
443	52.68594833
444	52.66941137
445	52.66068312
446	52.65583628
447	52.65543128
448	52.63953477
449	52.62556158
450	52.62410175
451	52.60631385
452	52.59006151
453	52.57990365
454	52.55948611
455	52.54662479
456	52.53497479
457	52.52790167
458	52.5063799
459	52.50442372
460	52.50108383
461	52.50024596
462	52.49421937
463	52.47538815
464	52.44454709
465	52.42767858
466	52.42046969
467	52.41205919
468	52.38675461
469	52.37326626
470	52.35875873
471	52.34438697
472	52.33002133
473	52.31133979
474	52.29245855
475	52.27429708
476	52.26576571
477	52.25807696
478	52.25098139
479	52.24813443
480	52.24222057
481	52.23284462
482	52.23184519
483	52.22106845
484	52.19529776
485	52.18378158
486	52.16663966
487	52.15575631
488	52.13319527
489	52.11222461
490	52.10906535
491	52.10044739
492	52.09261816
493	52.08871286
494	52.07855358
495	52.06740234
496	52.05365491
497	52.04495643
498	52.01034901
499	51.99664635
